Keyword,Difficulty,Volume,Global-volume
mcdonalds,85,21230000,34330000
chick-fil-a,57,17330000,17810000
taco-bell,73,12460000,14540000
pizza-hut,64,10980000,19480000
chipotle,79,9740000,10530000
burger-king,76,8620000,23910000
subway,82,8250000,15590000
dunkin-donuts,75,7160000,8760000
texas-roadhouse,31,6930000,7070000
little-caesars,59,6920000,7600000
olive-garden,55,6520000,6870000
panda-express,60,6480000,6820000
wendys,80,6070000,6670000
buffalo-wild-wings,36,6040000,6290000
papa-johns,72,5930000,7640000
panera-bread,69,5320000,5440000
wingstop,55,5300000,5550000
dairy-queen,74,4900000,6180000
sonic,92,4340000,8100000
jimmy-johns,44,4140000,4190000
cheesecake-factory,68,4020000,4400000
ihop,62,3930000,4340000
five-guys,65,3190000,4960000
kfc,67,3180000,18260000
whataburger,55,3090000,3180000
wawa,65,3030000,3130000
jack-in-the-box,46,2970000,3060000
waffle-house,32,2960000,3090000
krispy-kreme,71,2610000,4060000
dennys,68,2570000,2840000
red-lobster,44,2490000,2760000
shake-shack,62,2480000,3040000
arbys,62,2430000,2570000
golden-corral,51,2400000,2450000
first-watch,31,2170000,2170000
applebees,56,2150000,2250000
bjs,84,2130000,2140000
cracker-barrel,72,2010000,2070000
in-n-out-burger,45,2000000,2090000
smoothie-king,66,1770000,1800000
dominos-pizza,83,1710000,6570000
firehouse-subs,57,1590000,1730000
culvers,29,1500000,1510000
red-robin,54,1500000,1600000
nothing-bundt-cakes,14,1350000,1370000
hooters,67,1330000,1950000
baskin-robbins,57,1330000,2120000
tropical-smoothie-cafe,40,1200000,1210000
outback,72,1160000,1700000
bojangles,51,1160000,1210000
chilis,74,1150000,1270000
del-taco,40,1070000,1090000
qdoba,43,1050000,1080000
zaxbys,45,1040000,1050000
white-castle,55,1030000,1110000
jamba-juice,42,1030000,1070000
pf-changs,40,995000,1160000
yard-house,40,985000,993000
sweetgreen,55,949000,974000
longhorn,54,926000,989000
mod-pizza,36,873000,888000
blaze-pizza,42,848000,924000
cold-stone-creamery,44,839000,911000
bob-evans,42,787000,798000
boston-market,61,756000,768000
cookout,20,729000,742000
mellow-mushroom,10,718000,724000
el-pollo-loco,45,705000,770000
tgi-fridays,45,638000,1100000
chicken-salad-chick,39,632000,635000
steak-n-shake,40,614000,690000
carls-jr,30,613000,768000
hungry-howies,34,610000,613000
pollo-tropical,30,598000,618000
kwik-trip,51,595000,597000
7-eleven,69,570000,1610000
moes,74,556000,590000
mission-bbq,22,515000,516000
portillos,32,503000,511000
california-pizza-kitchen,47,501000,538000
hardees,55,442000,612000
cafe-rio,28,432000,456000
caseys,50,431000,448000
penn-station,60,422000,435000
ruby-tuesday,52,419000,464000
jersey-mikes,43,407000,411000
taco-cabana,28,403000,405000
smashburger,43,396000,449000
potbelly,47,382000,405000
caribou-coffee,23,345000,420000
zoes-kitchen,5,316000,321000
chicken-express,17,304000,331000
pei-wei,22,300000,303000
costco,91,299600,402100
pizza-ranch,55,295000,300000
tijuana-flats,20,281000,287000
raising-canes,15,274000,286000
perkins,87,268000,313000
fuddruckers,25,259000,301000
corner-bakery,21,255000,266000
quiznos,46,255000,368000
la-madeleine,32,255000,291000
burgerfi,17,254000,262000
cinnabon,47,251000,548000
long-john-silvers,24,249000,256000
jets-pizza,36,231000,232000
on-the-border,64,228000,234000
waba-grill,1,221000,222000
marcos-pizza,50,214000,246000
fazolis,38,207000,210000
wienerschnitzel,47,207000,238000
chuys,21,203000,206000
sheetz,42,182000,193000
carrabbas,31,182000,184000
churchs-chicken,58,176000,224000
costa-vida,4,171000,179000
pdq,50,167000,194000
mcalisters-deli,24,165000,167000
jasons-deli,33,159000,161000
baja-fresh,24,149000,153000
which-wich,20,142000,160000
taco-time,22,128000,171000
freddys,45,124000,131000
pita-pit,12,113000,307000
taco-johns,33,109000,110000
saladworks,12,106000,108000
bibibop,1,105000,105000
sbarro,27,103000,189000
pinkberry,15,87000,155000
famous-daves,52,84000,87000
papa-murphys,54,82000,83000
schlotzskys,34,70000,70000
blimpie,24,66000,70000
krystal,63,64000,146000
freshii,16,57000,268000
au-bon-pain,8,56000,74000
habit,76,53000,219000
godfathers-pizza,28,53000,65000
auntie-annes,18,34000,41000
salsaritas,9,32000,32000
rubios,33,28000,56000
captain-ds,52,27000,28000
tim-hortons,69,22000,5260000
checkers,75,22000,451000
cava,58,21000,209000
noodles-company,26,20000,21000
freebirds,44,19000,22000
newks-eatery,27,19000,19000
brueggers,22,17000,18000
o-charleys,20,10000,11000
donatos,44,6300,15000
starbucks,88,6000,13690000
manchu-wok,4,4500,23000
popeyes,53,1500,652000